athlete_name,year,points_earned,event_name,country,profile_url,stance,first_season,age,height(cm),weight(kg),beach,event_region,event_country
Ethan Ewing,2022,10000,J-Bay Open,Australia,https://www.worldsurfleague.com/athletes/4133/ethan-ewing,Regular,2012 Men's JR,24,178,77,Supertubes,Jeffreys Bay,South Africa
Gabriel Medina,2016,10000,Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,22,180,77,Cloudbreak,Tavarua Island,Fiji
Owen Wright,2015,10000,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,25,190,81,Cloudbreak,Tavarua Island,Fiji
Filipe Toledo,2022,10000,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,27,175,70,Bells Beach,Victoria,Australia
Owen Wright,2017,10000,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,27,190,81,Snapper Rocks,"Gold Coast, Queensland",Australia
Filipe Toledo,2015,10000,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,20,175,70,Guincho,Cascais,Portugal
Matt Wilkinson,2016,10000,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,28,180,82,Bells Beach,Victoria,Australia
Filipe Toledo,2021,10000,Margaret River Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,26,175,70,Main Breack,Margaret River,Australia
John John Florence,2019,10000,Margaret River Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,26,186,79,Main Breack,Margaret River,Australia
Gabriel Medina,2017,10000,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,23,180,77,Hossegor,Landas,France
Italo Ferreira,2018,10000,Corona Bali Protected,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,24,168,68,Keramas,Bali,Indonesia
Matt Wilkinson,2017,10000,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,29,180,82,Cloudbreak,Tavarua Island,Fiji
John John Florence,2016,10000,MEO Pro Portugal,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,23,186,79,Guincho,Cascais,Portugal
Keanu Asing,2016,10000,Quiksilver Pro France,Hawaii,https://www.worldsurfleague.com/athletes/1677/keanu-asing,Regular,2009 Men's QS,23,163,63,Hossegor,Landas,France
Adriano de Souza,2017,10000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,30,170,66,Itaúna,Saquarena,Brasil
Matt Wilkinson,2016,10000,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,28,180,82,Snapper Rocks,"Gold Coast, Queensland",Australia
Gabriel Medina,2021,10000,Rip Curl Narrabeen Classic,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,27,180,77,Narrabeen,New South Wales,Australia
Kelly Slater,2022,10000,Billabong Pipe Masters,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,50,175,73,Pipeline,Oahu,"Hawai, USA"
Mick Fanning,2015,10000,Hurley Pro at Trestles,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,34,178,79,Trestles,"San Clemente, California",USA
Adriano de Souza,2015,10000,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,28,170,66,Pipeline,Oahu,"Hawai, USA"
Jeremy Flores,2015,10000,Tahiti Pro Teahupo'o,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,27,173,72,Teahupo'o,Tahiti,French Polynesia
John John Florence,2019,10000,Rip Curl Pro Bells Beach,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,26,186,79,Bells Beach,Victoria,Australia
John John Florence,2021,10000,Billabong Pipe Masters,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,28,186,79,Pipeline,Oahu,"Hawai, USA"
Jeremy Flores,2017,10000,Billabong Pipe Masters,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,29,173,72,Pipeline,Oahu,"Hawai, USA"
Adriano de Souza,2015,10000,Margaret River Pro,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,28,170,66,Main Breack,Margaret River,Australia
Barron Mamiya,2022,10000,Hurley Pro Sunset Beach,Hawaii,https://www.worldsurfleague.com/athletes/3962/barron-mamiya,Regular,2012 Men's JR,22,175,62,Sunset Beach,Oahu,"Hawai, USA"
Gabriel Medina,2018,10000,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,24,180,77,Pipeline,Oahu,"Hawai, USA"
Jordy Smith,2016,10000,Hurley Pro at Trestles,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,28,190,88,Trestles,"San Clemente, California",USA
Griffin Colapinto,2022,10000,Surf City El Salvador Pro,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto,Regular,2011 Men's JR,24,178,78,El Tunco,La libertad,El Salvador
Italo Ferreira,2021,10000,Rip Curl Newcastle Cup,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,27,168,68,Merewether,Newcastle,Australia
Italo Ferreira,2019,10000,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,25,168,68,Pipeline,Oahu,"Hawai, USA"
Kelly Slater,2016,10000,Tahiti Pro Teahupo'o,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,44,175,73,Teahupo'o,Tahiti,French Polynesia
Owen Wright,2019,10000,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,29,190,81,Teahupo'o,Tahiti,French Polynesia
Filipe Toledo,2015,10000,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,20,175,70,Snapper Rocks,"Gold Coast, Queensland",Australia
Julian Wilson,2017,10000,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,28,183,82,Teahupo'o,Tahiti,French Polynesia
Filipe Toledo,2021,10000,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,26,175,70,Surf Ranch,"Lemoore, California",USA
Julian Wilson,2018,10000,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,29,183,82,Hossegor,Landas,France
Italo Ferreira,2019,10000,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,25,168,68,Snapper Rocks,"Gold Coast, Queensland",Australia
Gabriel Medina,2019,10000,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,25,180,77,Supertubes,Jeffreys Bay,South Africa
Kanoa Igarashi,2019,10000,Corona Bali Protected,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,22,180,78,Keramas,Bali,Indonesia
Filipe Toledo,2017,10000,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,22,175,70,Supertubes,Jeffreys Bay,South Africa
Filipe Toledo,2018,10000,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,23,175,70,Itaúna,Saquarena,Brasil
Filipe Toledo,2018,10000,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,23,175,70,Supertubes,Jeffreys Bay,South Africa
Jordy Smith,2017,10000,Rip Curl Pro Bells Beach,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,29,190,88,Bells Beach,Victoria,Australia
Italo Ferreira,2018,10000,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,24,168,68,Bells Beach,Victoria,Australia
Michel Bourez,2016,10000,Billabong Pipe Masters,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,30,175,80,Pipeline,Oahu,"Hawai, USA"
Sebastian Zietz,2016,10000,Margaret River Pro,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,28,183,77,Main Breack,Margaret River,Australia
Joel Parkinson,2016,8000,Hurley Pro at Trestles,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,35,183,82,Trestles,"San Clemente, California",USA
Jordy Smith,2017,8000,Hurley Pro at Trestles,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,29,190,88,Trestles,"San Clemente, California",USA
Gabriel Medina,2017,8000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,23,180,77,Teahupo'o,Tahiti,French Polynesia
Mick Fanning,2015,8000,J-Bay Open,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,34,178,79,Supertubes,Jeffreys Bay,South Africa
Adriano de Souza,2015,8000,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,28,170,66,Bells Beach,Victoria,Australia
Matt Wilkinson,2016,8000,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,28,180,82,Cloudbreak,Tavarua Island,Fiji
Sebastian Zietz,2017,8000,Quiksilver Pro France,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,29,183,77,Hossegor,Landas,France
Julian Wilson,2015,8000,J-Bay Open,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,26,183,82,Supertubes,Jeffreys Bay,South Africa
Frederico Morais,2017,8000,J-Bay Open,Portugal,https://www.worldsurfleague.com/athletes/1343/frederico-morais,Regular,2008 Men's QS,25,185,81,Supertubes,Jeffreys Bay,South Africa
John John Florence,2016,8000,J-Bay Open,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,23,186,79,Supertubes,Jeffreys Bay,South Africa
Adriano de Souza,2015,8000,Hurley Pro at Trestles,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,28,170,66,Trestles,"San Clemente, California",USA
Gabriel Medina,2015,8000,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,21,180,77,Teahupo'o,Tahiti,French Polynesia
Jordy Smith,2016,8000,Rip Curl Pro Bells Beach,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,28,190,88,Bells Beach,Victoria,Australia
Gabriel Medina,2016,8000,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,22,180,77,Hossegor,Landas,France
Bede Durbidge,2015,8000,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/558/bede-durbidge,Regular,2002 Men's CT,32,185,82,Hossegor,Landas,France
John John Florence,2016,8000,Tahiti Pro Teahupo'o,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,23,186,79,Teahupo'o,Tahiti,French Polynesia
John John Florence,2017,8000,Billabong Pipe Masters,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,24,186,79,Pipeline,Oahu,"Hawai, USA"
Bede Durbidge,2015,8000,Oi Rio Pro,Australia,https://www.worldsurfleague.com/athletes/558/bede-durbidge,Regular,2002 Men's CT,32,185,82,Itaúna,Saquarena,Brasil
Conner Coffin,2016,8000,MEO Pro Portugal,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,23,172,76,Guincho,Cascais,Portugal
Julian Wilson,2017,8000,MEO Pro Portugal,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,28,183,82,Guincho,Cascais,Portugal
Jack Freestone,2016,8000,Oi Rio Pro,Australia,https://www.worldsurfleague.com/athletes/2112/jack-freestone,Regular,2010 Men's QS,24,185,86,Itaúna,Saquarena,Brasil
Julian Wilson,2016,8000,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,27,183,82,Main Breack,Margaret River,Australia
John John Florence,2015,8000,Margaret River Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,22,186,79,Main Breack,Margaret River,Australia
Kanoa Igarashi,2016,8000,Billabong Pipe Masters,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,19,180,78,Pipeline,Oahu,"Hawai, USA"
Adrian Buchan,2017,8000,Oi Rio Pro,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,35,175,75,Itaúna,Saquarena,Brasil
Caio Ibelli,2017,8000,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,24,167,72,Bells Beach,Victoria,Australia
Julian Wilson,2015,8000,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,26,183,82,Snapper Rocks,"Gold Coast, Queensland",Australia
Italo Ferreira,2015,8000,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,21,168,68,Guincho,Cascais,Portugal
Matt Wilkinson,2017,8000,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,29,180,82,Snapper Rocks,"Gold Coast, Queensland",Australia
Julian Wilson,2015,8000,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,26,183,82,Cloudbreak,Tavarua Island,Fiji
Gabriel Medina,2015,8000,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,21,180,77,Pipeline,Oahu,"Hawai, USA"
Kolohe Andino,2016,8000,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,22,180,79,Snapper Rocks,"Gold Coast, Queensland",Australia
Kolohe Andino,2017,8000,Margaret River Pro,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,23,180,79,Main Breack,Margaret River,Australia
Wade Carmichael,2018,7800,Oi Rio Pro,Australia,https://www.worldsurfleague.com/athletes/2817/wade-carmichael,Regular,2011 Men's JR,25,180,86,Itaúna,Saquarena,Brasil
Kolohe Andino,2019,7800,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,25,180,79,Snapper Rocks,"Gold Coast, Queensland",Australia
Wade Carmichael,2018,7800,J-Bay Open,Australia,https://www.worldsurfleague.com/athletes/2817/wade-carmichael,Regular,2011 Men's JR,25,180,86,Supertubes,Jeffreys Bay,South Africa
Italo Ferreira,2019,7800,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,25,168,68,Supertubes,Jeffreys Bay,South Africa
Gabriel Medina,2021,7800,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,27,180,77,Surf Ranch,"Lemoore, California",USA
Jeremy Flores,2019,7800,Corona Bali Protected,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,31,173,72,Keramas,Bali,Indonesia
Conner Coffin,2021,7800,Rip Curl Narrabeen Classic,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,28,172,76,Narrabeen,New South Wales,Australia
Seth Moniz,2022,7800,Billabong Pipe Masters,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,25,170,68,Pipeline,Oahu,"Hawai, USA"
Filipe Toledo,2022,7800,Quiksilver Pro G-Land,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,27,175,70,G-Land,Java,Indonesia
Filipe Toledo,2022,7800,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,27,175,70,Guincho,Cascais,Portugal
Mick Fanning,2018,7800,Rip Curl Pro Bells Beach,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,37,178,79,Bells Beach,Victoria,Australia
Julian Wilson,2018,7800,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,29,183,82,Pipeline,Oahu,"Hawai, USA"
Kanoa Igarashi,2022,7800,Hurley Pro Sunset Beach,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,25,180,78,Sunset Beach,Oahu,"Hawai, USA"
Gabriel Medina,2019,7800,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,25,180,77,Pipeline,Oahu,"Hawai, USA"
Filipe Toledo,2022,7800,Surf City El Salvador Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,27,175,70,El Tunco,La libertad,El Salvador
Deivid Silva,2021,7800,Corona Open Mexico,Brazil,https://www.worldsurfleague.com/athletes/2760/deivid-silva,Goofy,2011 Men's JR,26,168,68,Barra de la Cruz,Oaxaca,Mexico
Gabriel Medina,2021,7800,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,27,180,77,Pipeline,Oahu,"Hawai, USA"
Gabriel Medina,2021,7800,Rip Curl Newcastle Cup,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,27,180,77,Merewether,Newcastle,Australia
Gabriel Medina,2019,7800,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,25,180,77,Teahupo'o,Tahiti,French Polynesia
Filipe Toledo,2019,7800,Rip Curl Pro Bells Beach,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,24,175,70,Bells Beach,Victoria,Australia
Owen Wright,2018,7800,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,28,190,81,Teahupo'o,Tahiti,French Polynesia
Filipe Toledo,2018,7800,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,23,175,70,Surf Ranch,"Lemoore, California",USA
Italo Ferreira,2019,7800,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,25,168,68,Hossegor,Landas,France
Adrian Buchan,2018,7800,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,36,175,75,Snapper Rocks,"Gold Coast, Queensland",Australia
Filipe Toledo,2019,7800,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,24,175,70,Surf Ranch,"Lemoore, California",USA
Jordy Smith,2019,7800,MEO Pro Portugal,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,31,190,88,Guincho,Cascais,Portugal
John John Florence,2022,7800,Margaret River Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,29,186,79,Main Breack,Margaret River,Australia
Julian Wilson,2018,7800,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,29,183,82,Main Breack,Margaret River,Australia
Michel Bourez,2018,7800,Corona Bali Protected,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,32,175,80,Keramas,Bali,Indonesia
Jordy Smith,2021,7800,Margaret River Pro,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,33,190,88,Main Breack,Margaret River,Australia
Kolohe Andino,2019,7800,Margaret River Pro,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,25,180,79,Main Breack,Margaret River,Australia
Jordy Smith,2019,7800,Oi Rio Pro,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,31,190,88,Itaúna,Saquarena,Brasil
Joan Duru,2018,7800,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,29,177,77,Guincho,Cascais,Portugal
Ryan Callinan,2018,7800,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,26,183,80,Hossegor,Landas,France
Joel Parkinson,2017,6500,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,36,183,82,Cloudbreak,Tavarua Island,Fiji
Jordy Smith,2017,6500,Tahiti Pro Teahupo'o,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,29,190,88,Teahupo'o,Tahiti,French Polynesia
Taj Burrow,2015,6500,Margaret River Pro,Australia,https://www.worldsurfleague.com/athletes/555/taj-burrow,Regular,1996 Men's CT,37,175,72,Main Breack,Margaret River,Australia
Nat Young,2015,6500,Margaret River Pro,United States,https://www.worldsurfleague.com/athletes/139/nat-young,Goofy,2008 Men's QS,24,180,75,Main Breack,Margaret River,Australia
Michel Bourez,2017,6500,Fiji Pro,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,31,175,80,Cloudbreak,Tavarua Island,Fiji
Kelly Slater,2016,6500,Fiji Pro,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,44,175,73,Cloudbreak,Tavarua Island,Fiji
Taj Burrow,2015,6500,Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/555/taj-burrow,Regular,1996 Men's CT,37,175,72,Cloudbreak,Tavarua Island,Fiji
Yago Dora,2017,6500,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/3994/yago-dora,Goofy,2012 Men's JR,21,181,77,Itaúna,Saquarena,Brasil
